"Time";"Res_Aveleira";"Res_Espinheira";"Res_Albarqueira"
"2019-12-10 05:15:00";3.2642001053571432;2.64;3.899799985999999
"2019-12-10 05:30:00";3.2984001060000003;2.64;3.944971414571428
"2019-12-10 05:45:00";3.344000107714286;2.64;3.971321414571429
"2019-12-10 06:00:00";3.3592001082857146;2.64;4.005199986
"2019-12-10 06:15:00";3.4048001099999996;2.64;4.046607128071428
"2019-12-10 06:30:00";3.4390001112857145;2.64;4.057899985
"2019-12-10 06:45:00";3.458000112;2.64;4.057899985
"2019-12-10 07:00:00";3.4732001122857143;2.64;4.072957127857142
"2019-12-10 07:15:00";3.458000112;2.64;4.125657127857144
"2019-12-10 07:30:00";3.41620011042857;2.64;4.163299985000001
"2019-12-10 07:45:00";3.397200109714286;2.64;4.204707127857142
"2019-12-10 08:00:00";3.351600108;2.64;4.227292842142856
"2019-12-10 08:15:00";3.328800107142858;2.64;4.283757127571429
"2019-12-10 08:30:00";3.2984001060000003;2.608571428571429;4.321399984000001
"2019-12-10 08:45:00";3.2642001053571432;2.5850000000000004;4.336457126857143
"2019-12-10 09:00:00";3.245200105;2.5850000000000004;4.374099983999999
"2019-12-10 09:15:00";3.195800103142856;2.5850000000000004;4.419271412571428
"2019-12-10 09:30:00";3.1768001024285715;2.5850000000000004;4.423035698285713
"2019-12-10 09:45:00";3.1388001010000006;2.5850000000000004;4.362807126857143
"2019-12-10 10:00:00";3.1084001004285717;2.5850000000000004;4.306342841428571
"2019-12-10 10:15:00";3.0856001;2.5850000000000004;4.268699984999999
"2019-12-10 10:30:00";3.0438000984285702;2.5339285714285715;4.208471413571428
"2019-12-10 10:45:00";3.0324000979999997;2.5300000000000002;4.152007127857144
"2019-12-10 11:00:00";2.983000096142857;2.5300000000000002;4.110599985
"2019-12-10 11:15:00";2.979200096;2.5300000000000002;4.106835699285715
"2019-12-10 11:30:00";2.9298000941428577;2.5300000000000002;4.057899985
"2019-12-10 11:45:00";2.926000094;2.5300000000000002;4.035314271142857
"2019-12-10 12:00:00";2.926000094;2.5300000000000002;3.9713214145714284
"2019-12-10 12:15:00";2.929800094142857;2.5300000000000002;3.952499986
"2019-12-10 12:30:00";2.9754000958571427;2.4946428571428574;3.952499986
"2019-12-10 12:45:00";2.979200096;2.5064285714285717;3.952499986
"2019-12-10 13:00:00";3.028600097857143;2.5025000000000004;3.952499986
"2019-12-10 13:15:00";3.0324000979999997;2.478928571428572;3.952499986
"2019-12-10 13:30:00";3.0780000997142865;2.4750000000000005;3.952499986
"2019-12-10 13:45:00";3.0362000981428565;2.4750000000000005;3.9939071288571433
"2019-12-10 14:00:00";3.0324000979999997;2.4750000000000005;4.027785699857143
"2019-12-10 14:15:00";3.0020000968571425;2.4750000000000005;4.057899985
"2019-12-10 14:30:00";2.979200096;2.47;4.106835699285715
"2019-12-10 14:45:00";2.979200096;2.471071428571429;4.133185699285716
"2019-12-10 15:00:00";2.9298000941428577;2.4750000000000005;4.163299985000001
"2019-12-10 15:15:00";2.926000094;2.451428571428572;4.200942842142856
"2019-12-10 15:30:00";2.9032000935714284;2.420000000000001;4.219764270714284
"2019-12-10 15:45:00";2.8728000929999995;2.420000000000001;4.276228556285713
"2019-12-10 16:00:00";2.8728000929999995;2.420000000000001;4.343985698285713
"2019-12-10 16:15:00";2.8462000919999992;2.420000000000001;4.407978555428571
"2019-12-10 16:30:00";2.819600090999999;2.420000000000001;4.456914269714285
"2019-12-10 16:45:00";2.819600090999999;2.420000000000001;4.400449983999999
"2019-12-10 17:00:00";2.8006000902857147;2.420000000000001;4.3439856982857155
"2019-12-10 17:15:00";2.7664000890000007;2.420000000000001;4.291285698857142
"2019-12-10 17:30:00";2.751200088714286;2.420000000000001;4.2385856992857125
"2019-12-10 17:45:00";2.7132000880000002;2.412142857142858;4.212235699285713
"2019-12-10 18:00:00";2.6904000871428573;2.365000000000001;4.163299985000001
"2019-12-10 18:15:00";2.6600000859999997;2.365000000000001;4.106835699285715
"2019-12-10 18:30:00";2.6600000859999997;2.365000000000001;4.057899985
"2019-12-10 18:45:00";2.614400084285714;2.365000000000001;3.9976714145714287
"2019-12-10 19:00:00";2.595400083571429;2.365000000000001;3.952499986
"2019-12-10 19:15:00";2.5536000819999995;2.365000000000001;3.896035700285714
"2019-12-10 19:30:00";2.515600081285714;2.365000000000001;3.8470999860000012
"2019-12-10 19:45:00";2.4814000802857135;2.365000000000001;3.794399986000001
"2019-12-10 20:00:00";2.447200078999999;2.365000000000001;3.7341714147142864
"2019-12-10 20:15:00";2.4016000772857145;2.333571428571428;3.681471415571429
"2019-12-10 20:30:00";2.3712000765714287;2.3099999999999996;3.6174785584285716
"2019-12-10 20:45:00";2.3408000760000003;2.3099999999999996;3.5723071298571427
"2019-12-10 21:00:00";2.2914000741428575;2.3099999999999996;3.5158428441428566
"2019-12-10 21:15:00";2.287600074;2.3099999999999996;3.5346642727142856
"2019-12-10 21:30:00";2.287600074;2.3099999999999996;3.579835701285714
"2019-12-10 21:45:00";2.287600074;2.3099999999999996;3.583599987
"2019-12-10 22:00:00";2.287600074;2.294285714285714;3.617478558428572
"2019-12-10 22:15:00";2.287600074;2.306071428571428;3.6325357012857147
"2019-12-10 22:30:00";2.3370000758571434;2.2982142857142853;3.617478558428572
"2019-12-10 22:45:00";2.3408000760000003;2.2549999999999994;3.6325357012857147
"2019-12-10 23:00:00";2.3408000760000003;2.2549999999999994;3.6362999870000006
"2019-12-10 23:15:00";2.3826000767857147;2.2549999999999994;3.6362999870000006
"2019-12-10 23:30:00";2.3940000770000003;2.2549999999999994;3.6362999870000006
"2019-12-10 23:45:00";2.4244000781428565;2.2549999999999994;3.6362999870000006
"2019-12-11 00:00:00";2.447200078999999;2.2549999999999994;3.670178558428572
"2019-12-11 00:15:00";2.4890000805714285;2.2549999999999994;3.7078214152142857
"2019-12-11 00:30:00";2.508000081142857;2.2274999999999996;3.7416999860000004
"2019-12-11 00:45:00";2.5536000819999995;2.2549999999999994;3.7078214152142865
"2019-12-11 01:00:00";2.5536000819999995;2.329642857142858;3.655121415571429
"2019-12-11 01:15:00";2.606800084;2.365000000000001;3.594892844142857
"2019-12-11 01:30:00";2.629600084857143;2.420000000000001;3.5421928441428574
