Time,Time,Res_Albarqueira,Res_Aveleira,Res_Espinheira,PE_Aveleira,PE_Albarqueira,PE_Espinheira,P_Albarqueira,P_Aveleira,Val_Espinheira
2019-10-22 22:17:00,2019-10-22 22:17:00,0.0,0.0,-3.3000000000000096,1331.9999967428573,3986.5713665142853,564.8571395957143,0,0,0
2019-10-22 22:25:00,2019-10-22 22:25:00,-0.39525000000000143,0.0,0.4125000000000012,1320.0,3342.0000456000002,551.99998854,0,0,1
2019-10-22 22:26:00,2019-10-22 22:26:00,0.0,0.0,0.0,1450.0,3280.0,572.00000762,0,0,0
2019-10-22 22:29:00,2019-10-22 22:29:00,0.0,0.0,0.0,1422.0000456,3264.0000918,558.00001146,0,0,1
2019-10-22 22:30:00,2019-10-22 22:30:00,0.0,0.0,0.0,1305.0,3276.0000228,546.0000228600001,0,0,0
2019-10-22 22:32:00,2019-10-22 22:32:00,0.0,0.0,0.0,1452.0000456,3264.0000918,528.00001146,0,0,1
2019-10-22 22:33:00,2019-10-22 22:33:00,0.0,0.0,0.0,1344.0000342,3248.9999772,594.00000573,0,0,0
2019-10-22 22:35:00,2019-10-22 22:35:00,0.0,0.0,0.0,1307.9999544,3240.0,588.00001146,0,0,1
2019-10-22 22:36:00,2019-10-22 22:36:00,0.0,0.0,0.0,1181.25,2806.4999485499998,480.7499885625,0,0,0
2019-10-22 22:41:00,2019-10-22 22:41:00,0.0,0.0,0.0,1302.0000456,3180.0,533.9999771399999,0,0,1
2019-10-22 22:42:00,2019-10-22 22:42:00,0.0,0.0,-3.3000000000000096,1205.9999658,3222.0000459000003,530.9999942699999,0,0,0
2019-10-22 22:44:00,2019-10-22 22:44:00,-1.5809999999999924,0.0,1.6500000000000048,1337.9999544,3132.0000456000002,533.9999771399999,0,0,1
2019-10-22 22:45:00,2019-10-22 22:45:00,0.0,-3.1920001200000314,0.0,1338.0000228,3189.6000367200004,534.0,0,0,0
2019-10-22 22:50:00,2019-10-22 22:50:00,0.0,0.0,0.0,1200.0,3144.0000918,528.00001146,0,0,1
2019-10-22 22:51:00,2019-10-22 22:51:00,0.0,0.0,-3.3000000000000096,914.2325572116281,3017.058138711628,483.20930441790694,0,0,0
