"Time";"PE_Albarqueira";"PE_Aveleira";"PE_Espinheira"
"2019-10-21 00:00:00";16.871428625714287;11.978571415;8.149999891142857
"2019-10-21 00:15:00";16.064285687142853;10.892857074928571;6.1785714625
"2019-10-21 00:30:00";22.335714068571427;9.542857102142857;5.164285693857143
"2019-10-21 00:45:00";18.221428599285712;8.38571429242857;4.914285693857143
"2019-10-21 01:00:00";23.87142842142857;8.092857156357143;4.507142884357143
"2019-10-21 01:15:00";45.671428953571436;7.800000020357141;4.450000047642857
"2019-10-21 01:30:00";53.80000032785714;7.321428571357143;4.435714278857143
"2019-10-21 01:45:00";45.19999967357143;7.1785713945;4.192857061142857
"2019-10-21 02:00:00";27.06428568714286;7.1357143265;4.128571322999999
"2019-10-21 02:15:00";14.15714277571429;6.9928571837857145;4.1285713059285705
"2019-10-21 02:30:00";19.885714122142854;7.100000006857143;4.1571427755
"2019-10-21 02:45:00";17.08571413642857;6.978571414785715;4.385714190499999
"2019-10-21 03:00:00";22.06428589071428;6.935714210785714;4.171428544285714
"2019-10-21 03:15:00";15.92142840785714;6.7214285305;4.164285659785714
"2019-10-21 03:30:00";43.91428566;6.964285646214287;4.328571421785713
"2019-10-21 03:45:00";52.928571156428575;6.735714299285713;4.014285717714286
"2019-10-21 04:00:00";43.77142879000001;6.707142897928572;4.000000033928571
"2019-10-21 04:15:00";39.37142842142857;6.642857176857143;4.035714285642857
"2019-10-21 04:30:00";20.27857140142857;6.542857136000002;3.9714286155000003
"2019-10-21 04:45:00";16.36428581;6.849999972714286;3.9357143297857147
"2019-10-21 05:00:00";22.750000340714283;6.8214285375;4.092857139357142
"2019-10-21 05:15:00";22.192857197142853;6.621428557714284;3.9928571324999997
"2019-10-21 05:30:00";16.128571510000004;6.7571428502142865;4.007142884357143
"2019-10-21 05:45:00";13.421428612142856;6.935714278928573;4.164285659785714
"2019-10-21 06:00:00";13.849999904999999;6.878571442285714;4.085714238142857
"2019-10-21 06:15:00";23.428571155714287;8.285714251642856;4.228571381
"2019-10-21 06:30:00";38.91428572785714;9.171428510357142;4.764285700571428
"2019-10-21 06:45:00";46.00714302071429;12.435714380714286;5.014285734714286
"2019-10-21 07:00:00";55.84285708785713;17.499999660714284;5.542857101928573
"2019-10-21 07:15:00";51.01428631428572;20.06428561928571;6.499999965857143
"2019-10-21 07:30:00";61.407143184285715;22.40714304714286;6.607142857285714
"2019-10-21 07:45:00";54.72142846142857;21.492857387142855;6.700000013642858
"2019-10-21 08:00:00";64.15000016285714;19.02857140142857;7.021428550928571
"2019-10-21 08:15:00";55.47857148357142;19.06428582285714;7.357142925142858
"2019-10-21 08:30:00";65.87142808071428;19.142857007142858;5.7357143334285725
"2019-10-21 08:45:00";52.65714291142857;21.39999989142857;7.1142857075000006
"2019-10-21 09:00:00";34.114286015;20.592856952857144;8.0785713875
"2019-10-21 09:15:00";26.33571406857143;20.707142965714286;8.700000047714285
"2019-10-21 09:30:00";31.357142857142858;21.200000081428573;9.428571428714287
"2019-10-21 09:45:00";48.69999980857142;23.407143047142856;10.2000000135
"2019-10-21 10:00:00";67.11428506;24.771428517142855;10.928571428571429
"2019-10-21 10:15:00";58.785713740000006;24.592857088571428;11.628571374285714
"2019-10-21 10:30:00";63.01428603928571;20.249999864285716;10.828571320071427
"2019-10-21 10:45:00";59.171428681428566;20.835714204285715;11.335714339999997
"2019-10-21 11:00:00";60.87142889785714;20.33571406857143;11.028571537214287
"2019-10-21 11:15:00";65.12857219285713;18.19999994571429;12.342857088499997
"2019-10-21 11:30:00";59.37142889785714;17.357143060714286;10.642857074999998
"2019-10-21 11:45:00";67.47142846214285;19.042857034285714;10.8642857415
"2019-10-21 12:00:00";66.34285654357143;17.864285605714286;9.178571428642856
"2019-10-21 12:15:00";56.257143020714274;16.771428449285715;8.285714387714284
"2019-10-21 12:30:00";63.06428500642858;15.478571618571426;8.478571347071426
"2019-10-21 12:45:00";37.20000008214286;17.557142870714284;8.771428482857141
"2019-10-21 13:00:00";32.10714285571429;15.864285809285715;8.042857135928573
"2019-10-21 13:15:00";35.549999782142855;15.414285727857145;8.714285714499999
"2019-10-21 13:30:00";28.428571564285715;14.485714367142856;14.27857140142857
"2019-10-21 13:45:00";67.07857213571427;14.892857210714286;14.714285782142856
"2019-10-21 14:00:00";60.8214288442857;14.421428544285714;14.414285660000001
"2019-10-21 14:15:00";63.57857159357143;14.77857140142857;13.900000027142855
"2019-10-21 14:30:00";61.54285703428571;14.542857102142856;10.792857034142859
"2019-10-21 14:45:00";60.04999923571428;15.149999959285713;9.135714190499998
"2019-10-21 15:00:00";64.06428555;13.792857170000001;8.385714224357143
"2019-10-21 15:15:00";55.89285687071429;13.89999989142857;7.935714279
"2019-10-21 15:30:00";61.071428298571426;13.914285795714287;8.59285708835714
"2019-10-21 15:45:00";27.485714095000002;13.864285741428574;7.957142795785714
"2019-10-21 16:00:00";26.014285360000002;13.200000081428572;8.221428700785713
"2019-10-21 16:15:00";26.06428582357142;12.057142870714285;9.092857088285715
"2019-10-21 16:30:00";21.657142639999996;11.292857102071428;9.285714353857143
"2019-10-21 16:45:00";37.64285700642858;12.15714284357143;7.91428572792857
"2019-10-21 17:00:00";51.42857115571428;12.628571510000002;8.628571340142857
"2019-10-21 17:15:00";59.628571645714274;11.70714289785714;8.157142945714286
"2019-10-21 17:30:00";51.385713575714284;13.185714245;8.292857067928571
"2019-10-21 17:45:00";61.45714296642858;13.421428544285714;8.600000040642858
"2019-10-21 18:00:00";61.03571401357143;15.09285715642857;8.535714421785714
