"Time";"Res_Espinheira";"Res_Aveleira";"Res_Albarqueira";"P_Aveleira";"P_Albarqueira";"PE_Albarqueira";"PE_Aveleira";"PE_Espinheira"
"2019-04-15T00:47:00+01:00";2.64;4.149600134;3.952499986;0;114.09999850000001;37.79999924;16.5;6.199999809
"2019-04-15T00:48:00+01:00";2.64;4.149600134;3.952499986;0;113.1999969;37.40000153;14.10000038;6.099999905
"2019-04-15T00:49:00+01:00";2.64;4.149600134;3.952499986;0;113.90000149999999;36.20000076;15.60000038;6.300000191
"2019-04-15T00:51:00+01:00";2.64;4.149600134;3.952499986;0;114;35.5;15.10000038;6.5
"2019-04-15T00:52:00+01:00";2.64;4.149600134;3.952499986;0;113.8000031;22.70000076;13.89999962;6.699999809
"2019-04-15T00:53:00+01:00";2.695;4.149600134;3.952499986;0;113.5;18.29999924;14.39999962;6.199999809
"2019-04-15T00:54:00+01:00";2.695;4.096400132;3.952499986;0;113.1999969;17.89999962;14.5;6.400000095
"2019-04-15T00:55:00+01:00";2.695;4.096400132;3.952499986;0;113.6999969;15.89999962;13.60000038;6.400000095
"2019-04-15T00:56:00+01:00";2.695;4.096400132;3.952499986;0;113.8000031;16.89999962;14.10000038;6.699999809
"2019-04-15T00:57:00+01:00";2.695;4.096400132;3.952499986;0;113.59999850000001;15.69999981;13.80000019;6.199999809
"2019-04-15T00:58:00+01:00";2.695;4.096400132;3.952499986;0;113.6999969;15.80000019;14.19999981;6.300000191
"2019-04-15T00:59:00+01:00";2.695;4.096400132;3.952499986;0;113.5;16.60000038;13;7.099999905
"2019-04-15T01:00:00+01:00";2.695;4.096400132;3.952499986;0;113.90000149999999;15.19999981;14.80000019;6.5
"2019-04-15T01:01:00+01:00";2.695;4.096400132;3.952499986;0;114.09999850000001;15.60000038;13.19999981;6.900000095
"2019-04-15T01:02:00+01:00";2.695;4.096400132;3.952499986;0;113.6999969;14.89999962;13.30000019;6.599999905
"2019-04-15T01:03:00+01:00";2.695;4.096400132;3.952499986;0;113.3000031;15.69999981;13.80000019;6.400000095
"2019-04-15T01:04:00+01:00";2.695;4.096400132;3.952499986;0;113.5;15.5;11.80000019;6.5
"2019-04-15T01:06:00+01:00";2.695;4.096400132;3.952499986;0;113.5;16;12.89999962;7.199999809
"2019-04-15T01:07:00+01:00";2.695;4.096400132;3.952499986;0;113.3000031;15.39999962;12;6.900000095
"2019-04-15T01:08:00+01:00";2.75;4.096400132;3.952499986;0;113.90000149999999;14.69999981;13.69999981;6.400000095
"2019-04-15T01:09:00+01:00";2.75;4.096400132;4.005199986;0;113.6999969;15.30000019;13.60000038;6.5
"2019-04-15T01:10:00+01:00";2.75;4.096400132;4.005199986;0;113.40000149999999;13.69999981;14.5;7
"2019-04-15T01:11:00+01:00";2.75;4.096400132;4.005199986;0;113.90000149999999;14.89999962;13.69999981;6.400000095
"2019-04-15T01:12:00+01:00";2.75;4.096400132;4.005199986;0;113.6999969;14.60000038;13.39999962;6
"2019-04-15T01:13:00+01:00";2.75;4.096400132;4.005199986;0;113.59999850000001;13.80000019;14.69999981;6.099999905
"2019-04-15T01:14:00+01:00";2.75;4.096400132;4.005199986;0;114.1999969;14.5;15;5.900000095
"2019-04-15T01:15:00+01:00";2.75;4.096400132;4.057899985;0;114.3000031;14.10000038;14.69999981;5.800000191
"2019-04-15T01:16:00+01:00";2.75;4.096400132;4.057899985;0;114;13.80000019;13.19999981;6
"2019-04-15T01:17:00+01:00";2.75;4.096400132;4.057899985;0;113.90000149999999;13.69999981;12;6
"2019-04-15T01:18:00+01:00";2.75;4.096400132;4.057899985;0;113.90000149999999;14.19999981;13.80000019;5.900000095
"2019-04-15T01:19:00+01:00";2.75;4.096400132;4.057899985;0;114.40000149999999;13.60000038;12.80000019;6.099999905
"2019-04-15T01:21:00+01:00";2.75;4.096400132;4.057899985;0;113.5;13.5;14.30000019;6.900000095
"2019-04-15T01:22:00+01:00";2.75;4.096400132;4.110599985;0;114;13.5;11.89999962;6.099999905
"2019-04-15T01:23:00+01:00";2.75;4.096400132;4.110599985;0;114.6999969;14;11.60000038;5.800000191
"2019-04-15T01:24:00+01:00";2.75;4.096400132;4.110599985;0;114.3000031;13.89999962;12.60000038;5.800000191
"2019-04-15T01:25:00+01:00";2.75;4.096400132;4.110599985;0;114.09999850000001;14.10000038;11.80000019;5.900000095
"2019-04-15T01:26:00+01:00";2.75;4.096400132;4.110599985;0;113.59999850000001;14.69999981;12.39999962;5.699999809
"2019-04-15T01:27:00+01:00";2.75;4.096400132;4.110599985;0;113.8000031;14.39999962;10.80000019;5.800000191
"2019-04-15T01:28:00+01:00";2.75;4.096400132;4.110599985;0;114;13.39999962;11.10000038;5.699999809
"2019-04-15T01:29:00+01:00";2.75;4.096400132;4.110599985;0;113.8000031;14;11;5.699999809
"2019-04-15T01:30:00+01:00";2.75;4.096400132;4.110599985;0;114.8000031;13.5;10.19999981;5.800000191
"2019-04-15T01:31:00+01:00";2.75;4.096400132;4.110599985;0;114.3000031;13.69999981;11.19999981;5.900000095
"2019-04-15T01:32:00+01:00";2.75;4.096400132;4.110599985;0;113.90000149999999;13.10000038;11.19999981;6.400000095
"2019-04-15T01:33:00+01:00";2.75;4.096400132;4.110599985;0;113.6999969;13;11.69999981;6.300000191
"2019-04-15T01:34:00+01:00";2.75;4.096400132;4.110599985;0;113.90000149999999;12.80000019;9.5;5.699999809
"2019-04-15T01:36:00+01:00";2.75;4.096400132;4.163299985;0;114.6999969;13.80000019;12.80000019;4.900000095
"2019-04-15T01:37:00+01:00";2.75;4.096400132;4.163299985;0;114.8000031;12.5;11;4.900000095
