Time,Res_Espinheira,Res_Aveleira,Res_Albarqueira_cel1,P_Aveleira,P_Albarqueira,PE_Albarqueira,PE_Aveleira,PE_Espinheira,Pipe1
2019-04-14 23:00:00+00:00,2.5879999999999983,4.1437964974181805,3.9524999859999985,14.478181770163639,113.33818192727271,32.48000013163636,15.505454531636364,6.87272725538182,1.0
2019-04-15 00:00:00+00:00,2.743125,4.096400132000006,4.101189270964286,0.0,114.08928612678572,14.049999986428572,11.787500006839284,5.573214300946428,1.0
2019-04-15 01:00:00+00:00,2.708749999999996,4.1629001344464305,4.257407127750004,37.574999902232136,92.19285748000004,31.26428558089285,8.844642869107142,4.341071418357144,0.0
2019-04-15 02:00:00+00:00,2.6949999999999963,4.207550136089291,4.268699985000005,0.0,2.2000000480000033,30.15892836,8.02857148642857,4.703571430249999,0.0
2019-04-15 03:00:00+00:00,2.6949999999999963,4.206600136035719,4.1924731992857165,12.485714281785713,2.2000000480000033,9.162499989732142,7.6714285781607146,5.539285693892857,0.0
2019-04-15 04:00:00+00:00,2.6949999999999963,4.201850135946434,4.135067842142855,11.719642775357142,2.2000000480000033,13.90178562948214,7.600000015267857,4.1553571395,0.0
2019-04-15 05:00:00+00:00,2.6949999999999963,4.208500136107149,3.981673200178568,0.7571428418749999,20.707142925142858,23.901785697678577,7.876785755071428,3.521428585017856,0.0
2019-04-15 06:00:00+00:00,2.649821428571427,4.138200133571432,4.110599985196429,0.0,113.16071443035712,45.551785672857136,10.253571459017854,3.8892857176964286,0.0
2019-04-15 07:00:00+00:00,2.6399999999999983,4.03845013008929,4.247055342000001,0.0,31.703571545857137,21.691071493392855,19.69285712928571,7.696428605499999,0.0
2019-04-15 08:00:00+00:00,2.6223214285714285,3.941550127178568,4.07766248526786,0.0,2.2000000480000033,44.37499999982143,19.912499972857148,9.601785710910715,0.0
2019-04-15 09:00:00+00:00,2.584999999999998,3.835150123874999,3.8988589145714263,0.0,2.2000000480000033,57.026785646428586,20.889285666785717,8.641071404660712,0.0
2019-04-15 10:00:00+00:00,2.584999999999998,3.7297001202142828,3.7831071289285743,0.0,2.2000000480000033,47.310714687857136,22.03035705464286,8.410714345249998,0.0
2019-04-15 11:00:00+00:00,2.584999999999998,3.640400117428569,3.7031160580714326,0.0,82.06428542535716,40.97499993821428,20.678571428571423,7.5714285884642845,0.0
2019-04-15 12:00:00+00:00,2.5565178571428575,3.5644001150000015,3.8659214145714293,0.0,111.10892868214286,59.860714435357146,18.267857108928574,8.460714323125,0.0
2019-04-15 13:00:00+00:00,2.5300000000000007,3.482700112464287,4.063546413910713,0.0,111.11785794107145,44.89821423732142,16.72678572785714,8.79821424826786,0.0
2019-04-15 14:00:00+00:00,2.5300000000000007,3.4038501099642855,4.217882127857146,0.0,110.60178620714287,39.83749999303571,16.076785717678572,9.423214341749999,0.0
2019-04-15 15:00:00+00:00,2.4759821428571405,3.3326001072857148,4.237644627749998,0.0,21.553571385857136,58.38214295303571,16.053571445535713,8.93392859180357,0.0
2019-04-15 16:00:00+00:00,2.4749999999999974,3.2636154899615395,4.137963446538459,0.0,2.200000048000003,43.20769225615384,15.78461537,10.378846141115387,0.0
2019-04-15 17:00:00+00:00,2.4252884615384627,3.1766539485769196,3.9981057549230723,0.0,19.52500012815385,30.305769187115388,18.59615386442308,11.888461516538463,0.0
2019-04-15 18:00:00+00:00,2.4200000000000013,3.083553945826923,4.034590370076924,0.0,113.59423079615385,57.58076939249999,22.89230775807692,11.782692340576924,0.0
2019-04-15 19:00:00+00:00,2.3649999999999984,2.962830864634614,4.20789229265385,0.0,113.34615400192307,62.138461406346146,26.69615378769231,10.782692313038464,0.0
2019-04-15 20:00:00+00:00,2.3649999999999984,2.8349462454230765,4.181542292634613,0.0,4.3519230951538415,42.34038441038462,27.732692241730774,8.415384604365387,0.0
2019-04-15 21:00:00+00:00,2.3332692307692326,2.709107779903844,3.9970922934230724,0.0,19.365384598307692,62.0653844248077,23.932692234615384,8.28461543403846,0.0
2019-04-15 22:00:00+00:00,2.325865384615384,2.6252154693076926,4.008240370326925,0.0,113.3826926269231,55.66153834403846,16.440384535000003,8.351923190480765,0.0
2019-04-15 23:00:00+00:00,2.5014423076923076,2.6303308541153836,3.856221139846154,38.57884612384615,112.56346174615386,51.82884612403846,11.834615413826922,7.7557692253269215,1.0
2019-04-16 00:00:00+00:00,2.67384615384615,2.766400089326924,3.7670365244615387,39.81538479211539,112.59038455000001,20.386538487307693,9.253846095250001,6.632692327865384,1.0
2019-04-16 01:00:00+00:00,2.6949999999999963,2.9862265114905635,3.8341735709056612,66.79622650245283,112.56037686415095,12.950943460754715,8.358490601962266,5.816981144698114,1.0
2019-04-16 02:00:00+00:00,2.6949999999999963,3.2680001053571437,3.8838017717142885,67.7946434025,112.58214296607142,41.16428577892858,8.04464287417857,5.628571416625001,0.0
2019-04-16 03:00:00+00:00,2.6949999999999963,3.5501501145714256,3.9797910574285753,67.74999986357145,112.57142884999999,10.135714224607144,7.787499981250002,5.150000005964285,0.0
2019-04-16 04:00:00+00:00,2.6949999999999963,3.8361001238035675,4.005199986000002,67.71428585017861,112.78392832142856,14.483928561285712,8.366071496607143,3.6339285713749994,0.0
2019-04-16 05:00:00+00:00,2.641964285714284,4.067900131053576,4.076721413839286,43.67857176946427,112.83571448571426,41.04285730678573,11.299999969428573,3.4464285799107137,0.0
2019-04-16 06:00:00+00:00,2.6399999999999983,4.089750131750002,4.255524984839289,1.68928567,59.51607158564294,17.491071479839288,20.17500003732143,4.037499998357143,0.0
